id;actual;declared;union;intersection;undeclared;unused
eneafchapmodjpgnblggaoikpeemnicg.crx;1;1;2;0;1;1
enfjpmhokbnpfoeepdoaadbabkojlpfc.crx;4;7;7;4;0;3
enfolipbjmnmleonhhebhalojdpcpdoo.crx;0;3;3;0;0;3
enlmiihbdlkpihokdgndjhahhkfmfcga.crx;0;9;9;0;0;9
enmofgaijnbjpblfljopnpdogpldapoc.crx;0;0;0;0;0;0
eobejphpabbjeehffmbiecckpkggpbai.crx;4;10;10;4;0;6
eofcbnmajmjmplflapaojjnihcjkigck.crx;2;6;6;2;0;4
eogeabecipmckmihpmkgjbghbffcebcf.crx;1;6;6;1;0;5
eopjamdnofihpioajgfdikhhbobonhbb.crx;0;1;1;0;0;1
epanfjkfahimkgomnigadpkobaefekcd.crx;2;9;9;2;0;7
epcnnfbjfcgphgdmggkamkmgojdagdnn.crx;4;7;7;4;0;3
epljggmdileomnkecfgpmcjodnikpdmm.crx;5;12;13;4;1;8
fadndhdgpmmaapbmfcknlfgcflmmmieb.crx;0;2;2;0;0;2
fafkcdhkdngbpidlbjkflljdgnkbcmbc.crx;0;0;0;0;0;0
fagakgcelolinfnkfgekcnedpaklfcok.crx;3;8;8;3;0;5
faminaibgiklngmfpfbhmokfmnglamcm.crx;1;2;2;1;0;1
fanogbnclpilemkifpjeglokomebpnef.crx;0;0;0;0;0;0
fbcgkphadgmbalmlklhbdagcicajenei.crx;1;3;3;1;0;2
fbcohnmimjicjdomonkcbcpbpnhggkip.crx;3;7;7;3;0;4
fbimffnjoeobhjhochngikepgfejjmgj.crx;3;3;3;3;0;0
fbingkbgnhkfpmffjiekekmedohpmfef.crx;0;6;6;0;0;6
fbmppankahdodchhioklnbcmohehhjoa.crx;1;2;2;1;0;1
fbpmaadfebbedknhmeeijeicldjlegee.crx;2;2;2;2;0;0
fcachklhcihfinmagjnlomehfdhndhep.crx;2;5;6;1;1;4
fckiflggbbklphamiahbdpphdkaloafl.crx;4;7;7;4;0;3
fdcgdnkidjaadafnichfpabhfomcebme.crx;0;12;12;0;0;12
fdfofellfkldcddminajkgcgocndgkip.crx;5;12;13;4;1;8
fdgfkebogiimcoedlicjlajpkdmockpc.crx;3;7;7;3;0;4
fdjamakpfbbddfjaooikfcpapjohcfmg.crx;7;11;12;6;1;5
fdkhngaioieemngifhcjghfankkmbpca.crx;5;12;13;4;1;8
fdpohaocaechififmbbbbbknoalclacl.crx;3;3;5;1;2;2
felcpnemckonbbmnoakbjgjkgokkbaeo.crx;1;4;4;1;0;3
felnfjenhdokeebbbbakdolpghmceefo.crx;1;2;2;1;0;1
ffbhefmlcoihbjcmibbfkocmnaiacinp.crx;2;3;3;2;0;1
ffdaeeijbbijklfcpahbghahojgfgebo.crx;0;9;9;0;0;9
ffhkkpnppgnfaobgihpdblnhmmbodake.crx;2;6;6;2;0;4
ffjkhaeogkeelkioellpgcebmekedpag.crx;0;5;5;0;0;5
ffmdedmghpoipeldijkdlcckdpempkdi.crx;1;4;4;1;0;3
fgddmllnllkalaagkghckoinaemmogpe.crx;4;13;13;4;0;9
fgikemaeelgbhjnhnnahcpkjpafaeion.crx;1;3;3;1;0;2
fgkeilefmpmbamgcejhjpiecahcbipip.crx;1;3;3;1;0;2
fhgenkpocbhhddlgkjnfghpjanffonno.crx;1;3;3;1;0;2
fhndealchbngfhdoncgcokameljahhog.crx;4;8;8;4;0;4
fhplmmllnpjjlncfjpbbpjadoeijkogc.crx;2;9;9;2;0;7
fippmoadkcplphjkinfbenngmaiehngd.crx;0;3;3;0;0;3
fjcldmjmjhkklehbacihaiopjklihlgg.crx;1;1;1;1;0;0
